index,special token
576,종코의장난감가게
577,주문
578,죽음을 먹는 자
579,죽음을 먹는 자들
580,죽음을 먹는자
581,죽음을먹는 자
582,죽음을먹는자
583,지팡이
584,지하감옥 벽
585,지하감옥벽
586,진정물약
587,집 요정
588,집요정
589,창시자
590,채러티 버비지
591,천문학
592,청동 독수리상
593,청동독수리상
594,카르페 리트랙텀
595,카베 이니미쿰
596,캐로
597,캐로 교수님
598,캔타우로스
599,캔타우르스
600,커스버트
601,커스버트 빈스
602,커스버트 빈스 교수님
603,케로
604,켄타우로스
605,켄타우르스
606,콜로바리아
607,콜로슈
608,콜로포터스
609,콰이어투스
610,쿼디치
611,퀴디치
612,퀴럴
613,퀴럴 교수님
614,퀴리누스
615,퀴리누스 퀴럴
616,퀴리누스 퀴럴 교수님
617,크루시오
618,키디치
619,킹스 크로스
620,킹스 크로스 역
621,킹스크로스
622,킹스크로스역
623,타피스 템포러스
624,톰 리들
625,톰리들
626,투구꽃
627,투명 망토
628,투명망토
629,트라이 위자드
630,트라이위저드
631,트로피
632,트롤
633,트롤들을 길들여 무용을 가르치려는 정신나간 바르나바의 어리석은 시도가 그려져 있는 거대한 벽걸이 양탄자
634,트리 위자드
635,트리위자드
636,트리위저드
637,트릴로니
638,트릴로니 교수님
639,트릴리니
640,패트로누스
641,페리큘럼
642,페트리피쿠스 토탈루스
643,펠릭스 펠리시스 구별하는 법
644,포모나
645,포모나 스프라우트
646,포모나 스프라우트 교수님
647,포터
648,폴리주스 마법약
649,폴리주스 마법의 약
650,폴리주스 마법의약
651,폴리주스마법의약
652,푸디풋 부인 찻집
653,푸디풋 찻집
654,푸디풋부인찻집
655,푸모스
656,푸모스 주문
657,프로테고
658,프로테고 막시마
659,플러피
660,플루 가루
661,플리트윅
662,플리트윅 교수님
663,플리팬도
664,플리펜
665,플리펜도
666,피네스트라
667,피니테
668,피니테 인칸타템
669,피니테인칸타템
670,피닡 인칸타템
671,피랜채
672,피랜체
673,피렌채
674,피렌체
675,피브스
676,피안토 듀리
677,피어토텀 로코모토르
678,핀스
679,필리우스 교수님
